785,1
873,1
65,1
902,1
317,1
636,1
666,1
789,0
958,0
214,1
97,1
583,0
466,0
523,1
255,1
385,1
545,0
382,1
489,1
513,1
780,0
904,1
122,1
946,0
60,1
844,1
372,1
283,1
939,1
608,1
495,0
630,1
596,0
713,1
753,1
624,0
312,1
8,1
529,1
876,1
101,1
615,1
520,1
249,0
278,0
424,0
384,1
395,1
54,0
34,1
271,1
30,1
403,1
757,0
975,1
990,1
457,0
362,1
860,1
483,1
580,0
986,1
688,1
864,0
927,0
378,0
320,0
942,1
351,0
418,1
945,1
795,1
145,1
826,0
492,1
751,0
240,0
648,0
886,1
144,1
767,1
999,1
467,1
315,0
989,1
922,0
717,1
458,1
773,1
204,1
834,0
832,0
435,0
5,1
769,1
679,1
722,0
215,1
653,0
150,1
687,1
500,0
332,0
979,0
817,1
620,1
814,0
516,1
518,1
940,1
113,0
612,1
37,0
894,1
895,1
992,1
158,1
154,1
40,1
585,0
805,0
592,1
964,1
266,1
406,1
294,1
604,1
522,0
18,0
425,1
527,1
308,0
622,0
794,1
62,0
79,1
680,1
193,1
750,1
181,0
535,0
484,1
200,1
364,0
991,1
462,1
356,1
2,1
478,1
695,1
253,1
667,1
85,1
969,1
75,1
786,1
658,1
465,1
920,1
38,1
944,1
725,1
436,1
140,1
818,1
602,0
745,1
471,0
342,1
416,0
711,0
557,0
50,1
162,1
765,1
856,1
867,1
524,1
443,0
172,0
956,1
330,1
352,1
857,1
766,0
39,1
852,1
875,1
156,1
222,1
641,1
210,1
746,1
960,1
700,0
167,1
998,0
984,1
491,0
10,0
105,0
68,0
479,1
399,1
434,1
258,1
827,0
884,0
304,0
811,1
938,0
924,0
526,1
20,1
905,1
380,1
420,1
285,1
71,1
49,1
179,1
506,1
929,1
116,0
293,1
76,0
48,1
503,0
263,1
808,1
863,1
748,1
64,1
798,1
52,1
440,1
124,0
650,1
409,0
752,1
952,0
477,1
118,0
12,1
157,1
337,0
127,0
46,1
235,0
538,0
241,1
590,1
358,1
959,1
848,1
792,1
325,1
899,0
809,0
350,1
363,1
17,1
186,0
402,0
338,1
206,1
963,0
345,1
313,0
242,0
913,1
170,0
187,1
934,1
133,1
301,0
731,0
670,1
318,1
78,1
521,0
346,1
198,1
865,1
