,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
785,4,24,2,3,2397,3,5,3,3,1,2,3,35,1,2,2,3,2,2,2
873,4,36,3,9,9572,1,2,1,1,1,1,3,28,3,2,2,3,2,1,2
65,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2
902,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,2,2,2
317,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,2,1,2
636,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,2,1,2
666,2,7,2,3,2329,1,2,1,2,3,1,1,45,3,2,1,3,2,1,2
789,2,24,4,2,4736,1,2,2,2,1,4,3,25,1,2,1,2,2,1,2
958,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,2,1,2
214,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,2,1,2
97,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,2,2,2
583,1,12,2,4,741,2,1,4,2,1,3,2,22,3,2,1,3,2,1,2
466,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,2,1,2
523,4,18,2,3,1126,5,2,4,2,1,2,1,21,3,1,1,3,2,2,2
255,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,2,2,2
385,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,2,1,2
545,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,2,2,2
382,4,60,4,0,13756,5,5,2,3,1,4,4,63,1,3,1,4,2,2,2
489,4,12,2,0,3527,5,2,2,3,1,3,2,45,3,2,1,4,1,2,2
513,2,30,2,2,3832,1,2,2,4,1,1,2,22,3,2,1,3,2,1,2
780,2,30,4,2,8386,1,4,2,3,1,2,2,49,3,2,1,3,2,1,2
