420,1
478,0
296,1
451,1
264,1
390,1
454,1
422,1
331,0
456,1
400,1
269,1
448,1
429,0
376,1
406,0
360,1
320,1
70,0
317,1
374,0
375,0
299,1
160,1
355,1
333,1
474,0
394,1
381,0
370,1
435,1
469,0
306,1
401,1
455,1
322,0
409,1
411,1
329,1
305,1
304,1
357,1
163,1
428,0
265,1
443,1
233,1
174,1
346,1
310,1
344,1
75,1
479,0
427,1
138,1
328,1
343,1
356,1
433,1
162,1
432,1
445,0
164,1
60,0
371,1
449,1
302,1
161,1
386,1
285,1
315,1
297,1
476,1
323,0
69,1
410,1
465,1
464,1
298,1
389,0
447,1
204,0
290,0
431,1
311,1
434,1
426,1
284,1
270,1
402,1
273,1
442,1
425,1
450,1
282,1
440,1
271,1
379,0
354,1
347,1
403,1
446,1
475,0
332,1
345,1
267,1
353,1
466,1
468,0
291,0
316,1
438,1
366,1
330,0
361,1
286,1
236,0
149,1
387,1
327,0
407,0
303,1
